Page/Component,Feature Category,Feature Description
Home Page,User Management,Batch save multiple edited members at once
Home Page,User Management,Logout functionality with localStorage cleanup
Home Page,Table Features,PrimeNG p-table with sortable columns (Email Username State City DOB)
Home Page,Table Features,Pagination with customizable rows per page (5 10 25 50)
Home Page,Table Features,Global search functionality across multiple fields (email username mobile city state gender address)
Home Page,Table Features,Current page report showing "Showing X to Y of Z members"
Home Page,Table Features,Responsive table layout with horizontal scrolling on small screens
Home Page,Table Features,Row hover effect for better UX
Home Page,Table Features,Empty state message with "Add Member" button when no data
Home Page,Inline Editing,Cell-based inline editing (click any cell to edit)
Home Page,Inline Editing,Real-time validation during editing with error messages
Home Page,Inline Editing,Change tracking system (tracks which rows have been edited)
Home Page,Inline Editing,Baseline comparison to detect actual changes
Home Page,Inline Editing,Batch save button (Save Changes) that saves all edited rows at once
Home Page,Inline Editing,ForkJoin for parallel API calls when saving multiple users
Home Page,Inline Editing,Toast notifications for save success/failure
Home Page,Inline Editing,Automatic form reset after successful save
Home Page,Filtering,Frontend filtering system (no backend calls)
Home Page,Filtering,Filter by Name (text search)
Home Page,Filtering,Filter by State (dropdown)
Home Page,Filtering,Filter by City (dependent dropdown based on selected state)
Home Page,Filtering,Filter by Gender (dropdown)
Home Page,Filtering,Filter by Tech Interests (multi-select dropdown)
Home Page,Filtering,Toggle filters visibility with Filters button
Home Page,Filtering,Clear all filters button
Home Page,Filtering,Real-time filtering as user types/selects
Home Page,Data Display,Credit card masking (displays as **** **** **** XXXX)
Home Page,Data Display,Date formatting (formatted as "Dec 31 2025")
Home Page,Data Display,Array display for hobbies and tech interests (chips/tags)
Home Page,Data Display,Gender tags with color coding (Male: green Female: orange Other: blue)
Home Page,Data Display,Tooltips for long text (email address)
Home Page,Data Display,Icons for different field types (envelope phone credit card calendar map marker)
Home Page,Validation,Email validation (required format check must end with .com)
Home Page,Validation,Username validation (required 4-20 chars pattern: letters/numbers/._-)
Home Page,Validation,Mobile validation (required exactly 10 digits)
Home Page,Validation,Credit card validation (required 4 or 16 digits)
Home Page,Validation,State validation (required)
Home Page,Validation,City validation (required must belong to selected state)
Home Page,Validation,Gender validation (required)
Home Page,Validation,Hobbies validation (at least one required)
Home Page,Validation,Tech Interests validation (at least one required)
Home Page,Validation,DOB validation (required valid date future dates blocked)
Home Page,Validation,Address validation (optional pattern: letters/numbers/spaces/comma/dot/underscore/hyphen only)
Home Page,Date Handling,Calendar component with future dates disabled
Home Page,Date Handling,Date format: YYYY-MM-DD for database storage
Home Page,Date Handling,Date display: "Dec 31 2025" format
Home Page,Location Handling,Dynamic state dropdown populated from locations.json
Home Page,Location Handling,Dependent city dropdown (updates based on selected state)
Home Page,Location Handling,State-City mapping validation (city must belong to selected state)
Home Page,Location Handling,Automatic city reset when state changes
Home Page,Delete Functionality,PrimeNG confirmation dialog (replaces browser confirm)
Home Page,Delete Functionality,Delete confirmation with user name display
Home Page,Delete Functionality,Cascade delete (user_interests automatically deleted via foreign key)
Home Page,Delete Functionality,Toast notification after successful delete
Home Page,Delete Functionality,Automatic table refresh after delete
Home Page,User Experience,Loading indicators during API calls
Home Page,User Experience,Toast notifications for all operations (success error warning info)
Home Page,User Experience,Disabled autocomplete suggestions on all input fields
Home Page,User Experience,Error messages displayed inline below each field
Home Page,User Experience,Field-level error highlighting (red border on invalid fields)
Home Page,UI Design,PrimeFlex v3 grid system for responsive layout
Home Page,UI Design,Clean button layout in top-right corner
Home Page,UI Design,Professional table styling with PrimeNG theme
Home Page,UI Design,Consistent spacing and alignment throughout
Add Member Dialog,Form Layout,2-column grid layout (2 fields per row) to reduce scrolling
Add Member Dialog,Form Layout,Responsive design (stacks to single column on mobile)
Add Member Dialog,Form Fields,Name field with validation (required min 2 chars no numbers)
Add Member Dialog,Form Fields,Email field with validation (required valid format must end with .com)
Add Member Dialog,Form Fields,Username field with validation (required 4-20 chars pattern validation)
Add Member Dialog,Form Fields,Password field with validation (required min 8 chars strong password pattern)
Add Member Dialog,Form Fields,Confirm Password field with match validation
Add Member Dialog,Form Fields,Mobile field with validation (required exactly 10 digits)
Add Member Dialog,Form Fields,Credit Card field with validation (required 16 digits)
Add Member Dialog,Form Fields,State dropdown (required populated from locations.json)
Add Member Dialog,Form Fields,City dropdown (required dependent on state selection)
Add Member Dialog,Form Fields,Gender dropdown (required options: Male Female Other)
Add Member Dialog,Form Fields,Hobbies multi-select (required at least one selection)
Add Member Dialog,Form Fields,Tech Interests multi-select (required at least one selection)
Add Member Dialog,Form Fields,Address textarea (optional pattern validation)
Add Member Dialog,Form Fields,DOB calendar picker (required future dates disabled)
Add Member Dialog,Form Validation,Real-time validation with error messages
Add Member Dialog,Form Validation,Form submission blocked if validation fails
Add Member Dialog,Form Validation,Password match validation (confirm password must match password)
Add Member Dialog,Location Handling,Dynamic state dropdown from locations.json
Add Member Dialog,Location Handling,Dependent city dropdown (updates when state changes)
Add Member Dialog,Location Handling,City reset when state changes
Add Member Dialog,Date Handling,Calendar component with maxDate set to today
Add Member Dialog,Date Handling,Date format: YYYY-MM-DD
Add Member Dialog,User Experience,Loading state during form submission
Add Member Dialog,User Experience,Error message display for API failures
Add Member Dialog,User Experience,Success callback that closes dialog and refreshes table
Add Member Dialog,User Experience,Cancel button to close dialog without saving
Add Member Dialog,User Experience,Disabled autocomplete suggestions on all inputs
Add Member Dialog,UI Design,PrimeNG dialog with modal backdrop
Add Member Dialog,UI Design,Maximizable dialog for better viewing
Add Member Dialog,UI Design,Scrollable content area with max-height
Add Member Dialog,UI Design,Clean grid layout with proper spacing
Excel Download,UI Component,Split button with dropdown menu (Excel button → Download/Upload options)
Excel Download,Download Options,Download Blank Template (empty Excel with headers and dropdowns)
Excel Download,Download Options,Download Template with Data (pre-filled Excel with existing user data)
Excel Download,Excel Structure,3-sheet Excel file: Cover Sheet Application Portfolio (main) Data Format Sheet
Excel Download,Cover Sheet,Metadata display: Downloaded by (current user) Download timestamp Template mode Record count
Excel Download,Cover Sheet,Instructions and usage notes for users
Excel Download,Application Portfolio Sheet,All user table columns in same order as UI/Add User form
Excel Download,Application Portfolio Sheet,Headers with professional formatting (blue background white text bold)
Excel Download,Application Portfolio Sheet,Column width auto-sizing based on header length
Excel Download,Application Portfolio Sheet,Pre-filled data rows (if "Template with Data" mode)
Excel Download,Data Format Sheet,Column rules table explaining how to fill each column
Excel Download,Data Format Sheet,Dropdown value lists: Genders States Cities Hobbies Tech Interests
Excel Download,Data Format Sheet,State-City mapping table for dependent dropdowns
Excel Download,Excel Validations,Gender dropdown validation (linked to Data Format sheet)
Excel Download,Excel Validations,State dropdown validation (linked to Data Format sheet)
Excel Download,Excel Validations,City dependent dropdown (depends on State selection using OFFSET+MATCH+COUNTIF formula)
Excel Download,Excel Validations,Hobbies dropdown validation (linked to Data Format sheet)
Excel Download,Excel Validations,Tech Interests dropdown validation (linked to Data Format sheet)
Excel Download,Excel Validations,DOB date validation (blocks future dates using Excel date validation)
Excel Download,Backend Generation,Server-side Excel generation using excel4node library
Excel Download,Backend Generation,Dynamic data population from database (for "with data" mode)
Excel Download,Backend Generation,Lookup data fetched from locations.json and hardcoded lists
Excel Download,Backend Generation,Excel formulas for dependent dropdowns (State → City)
Excel Download,File Download,Binary file download via HTTP response (Blob)
Excel Download,File Download,Proper Content-Type and Content-Disposition headers
Excel Download,File Download,Filename includes mode and date (Users_Template_Blank_2026-01-07.xlsx)
Excel Download,User Tracking,Tracks who downloaded template (for audit trail)
Excel Upload,UI Component,Upload button opens modal dialog with 3-step wizard
Excel Upload,Step Indicator,PrimeNG Steps component showing: 1) Select → 2) Validate → 3) Upload
Excel Upload,Step Indicator,Active step highlighting with pulse animation and blue gradient
Excel Upload,Step Indicator,Smooth transitions when moving between steps
Excel Upload,File Selection,File input with .xlsx file type restriction
Excel Upload,File Selection,Filename validation (only allows Users_Template_*.xlsx files)
Excel Upload,File Selection,Browser suffix support (allows (2) (3) etc. from re-downloads)
Excel Upload,File Selection,Real-time filename validation with error message
Excel Upload,File Selection,Selected filename display
Excel Upload,Validation Step,Dry-run validation (validates without saving to database)
Excel Upload,Validation Step,Comprehensive row-level validation
Excel Upload,Validation Step,Required field validation
Excel Upload,Validation Step,Email format validation
Excel Upload,Validation Step,Username format validation (4-20 chars pattern)
Excel Upload,Validation Step,Mobile validation (exactly 10 digits)
Excel Upload,Validation Step,Credit card validation (16 or 4 digits)
Excel Upload,Validation Step,Dropdown value validation (Gender State City Hobbies Tech Interests must match allowed lists)
Excel Upload,Validation Step,State-City mapping validation (city must belong to selected state)
Excel Upload,Validation Step,DOB validation (valid date not future)
Excel Upload,Validation Step,Password validation for ADD rows (required strong password)
Excel Upload,Validation Step,Duplicate email check within uploaded file
Excel Upload,Validation Step,Duplicate username check within uploaded file
Excel Upload,Validation Step,Database-level uniqueness check (email username)
Excel Upload,Validation Step,UserId existence check for EDIT rows
Excel Upload,Validation Step,Email/username conflict check (must not belong to another user)
Excel Upload,Error Display,Error table showing row number and error reason
Excel Upload,Error Display,Error count display
Excel Upload,Error Display,Download Error Excel button (generates Excel file with failed rows)
Excel Upload,Error Excel File,Excel file containing only failed rows
Excel Upload,Error Excel File,Error Reason column added to error file
Excel Upload,Upload Step,Actual database operations (only if validation passes)
Excel Upload,Upload Step,Bulk INSERT for new users (2 queries: users table + user_interests table)
Excel Upload,Upload Step,Bulk UPDATE for existing users (2 queries: users UPDATE + user_interests UPSERT)
Excel Upload,Upload Step,Transaction support (all operations in single transaction)
Excel Upload,Upload Step,Rollback on errors (atomicity guarantee)
Excel Upload,Upload Step,Response includes: createdCount updatedCount errorCount errorDetails
Excel Upload,Upload Step,Automatic error Excel file generation if errors exist
Excel Upload,Upload Step,Success toast with summary (Created: X Updated: Y Errors: Z)
Excel Upload,Upload Step,Automatic table refresh after successful upload
Excel Upload,Backend Processing,Excel file parsing using xlsx library
Excel Upload,Backend Processing,Header normalization (case-insensitive matching)
Excel Upload,Backend Processing,Row-by-row validation and categorization (ADD vs EDIT)
Excel Upload,Backend Processing,Data normalization (hobbies techInterests dates credit card)
Excel Upload,Backend Processing,Password hashing for new users (bcrypt)
Excel Upload,Backend Processing,UUID generation for new users
Excel Upload,Backend Processing,Credit card last 4 digits extraction
Excel Upload,UI Design,Clean dialog layout with proper spacing
Excel Upload,UI Design,Button alignment and spacing (0.75rem gap)
Excel Upload,UI Design,CSS file for dialog styles (home.component.css)
Excel Upload,UI Design,Professional stepper with animations
Excel Upload,UI Design,Responsive dialog (max-width: 96vw)
Backend API,Authentication,POST /api/register - User registration with validation
Backend API,Authentication,POST /api/login - User login (username OR email)
Backend API,User Management,GET /api/users - Get all users with joined interests
Backend API,User Management,GET /api/users/:id - Get single user by ID
Backend API,User Management,POST /api/users - Create new user with interests
Backend API,User Management,PUT /api/users/:id - Update existing user and interests
Backend API,User Management,DELETE /api/users/:id - Delete user (cascade deletes interests)
Backend API,Excel Feature,GET /api/users/lookups - Get dropdown values (genders states cities etc.)
Backend API,Excel Feature,GET /api/users/excel-template - Generate and download Excel template
Backend API,Excel Feature,POST /api/users/bulk - Upload and process Excel file (dryRun parameter for validation)
Backend API,Database,MySQL database with connection pooling
Backend API,Database,Two tables: users (id name email username password_hash timestamps) and user_interests (user_id mobile credit_card_last4 state city gender hobbies JSON tech_interests JSON address dob)
Backend API,Database,Foreign key constraint with ON DELETE CASCADE
Backend API,Database,UUID primary keys
Backend API,Database,JSON data type for hobbies and tech_interests arrays
Backend API,Security,Password hashing with bcrypt (10 salt rounds)
Backend API,Security,SQL injection prevention (parameterized queries)
Backend API,Security,Input validation on all endpoints
Backend API,Security,Credit card security (stores only last 4 digits)
Backend API,File Handling,Multer middleware for Excel file uploads (in-memory storage 10MB limit)
Backend API,File Handling,Excel file generation using excel4node
Backend API,File Handling,Excel file parsing using xlsx library
Backend API,Error Handling,Comprehensive error handling with appropriate HTTP status codes
Backend API,Error Handling,Detailed error messages for validation failures
Backend API,Error Handling,Transaction rollback on database errors
User Service,API Integration,HTTP client service for all user-related API calls
User Service,API Integration,getUsers() - Fetch all users
User Service,API Integration,getUserById() - Fetch single user
User Service,API Integration,addUser() - Create new user
User Service,API Integration,updateUser() - Update existing user
User Service,API Integration,deleteUser() - Delete user
User Service,Excel Feature,downloadUsersTemplate() - Download Excel template (returns Blob)
User Service,Excel Feature,validateBulkExcel() - Validate Excel file (dryRun=true)
User Service,Excel Feature,uploadBulkExcel() - Upload Excel file (dryRun=false)
User Form Component,Reusability,Shared component for Add and Edit user forms
User Form Component,Reusability,Input/Output decorators for parent-child communication
User Form Component,Reusability,Form state management (edit mode vs add mode)
User Form Component,Reusability,Password fields hidden in edit mode
Location Data,Data Source,locations.json file with state and city data
Location Data,Data Source,Key-value pair structure with state codes and city codes
Location Data,Data Source,Dynamic loading via HTTP GET request
Location Data,Data Source,Used by both frontend and backend for consistency
UI Framework,PrimeNG Components,Table Dialog Dropdown MultiSelect Calendar InputText Password Button Card Toast Message Tag Chip Tooltip SplitButton Steps
UI Framework,PrimeFlex v3,Grid system (formgrid grid col-12 md:col-6 etc.)
UI Framework,PrimeFlex v3,Flex utilities (p-d-flex p-jc-between p-ai-center etc.)
UI Framework,PrimeFlex v3,Spacing utilities (p-mb-2 p-mt-3 gap etc.)
UI Framework,PrimeIcons,Icon library for consistent iconography
Responsive Design,Mobile Support,Responsive grid layouts that stack on mobile
Responsive Design,Mobile Support,Horizontal scrolling tables on small screens
Responsive Design,Mobile Support,Adaptive dialog widths (max-width: 96vw)
User Experience,Loading States,Loading indicators for all async operations
User Experience,Toast Notifications,Success error warning and info toasts
User Experience,Error Messages,Inline error messages below form fields
User Experience,Validation Feedback,Visual feedback (red borders error icons)
User Experience,Confirmation Dialogs,PrimeNG dialogs for delete confirmation
User Experience,Empty States,Helpful messages when no data is available
User Experience,Tooltips,Hover tooltips for long text and actions
Accessibility,Form Labels,Proper label associations for screen readers
Accessibility,ARIA Attributes,PrimeNG components include ARIA support
Browser Compatibility,Autocomplete,Disabled autocomplete on all input fields
Browser Compatibility,File Downloads,Proper blob handling for Excel downloads
Validation,Frontend Validation,Angular Reactive Forms with custom validators
Validation,Frontend Validation,Real-time validation on user input
Validation,Frontend Validation,Pattern matching for email username mobile credit card
Validation,Frontend Validation,Required field validation
Validation,Frontend Validation,Minimum/maximum length validation
Validation,Frontend Validation,Custom validators (email TLD password strength password match)
Validation,Backend Validation,Server-side validation matching frontend rules
Validation,Backend Validation,Input sanitization (trim lowercase for email)
Validation,Backend Validation,Database constraint validation (UNIQUE for email username)
Validation,Backend Validation,Foreign key validation (state-city mapping)
Security,Password Security,Bcrypt hashing (10 salt rounds)
Security,Password Security,Strong password requirements (uppercase lowercase number special char min 8)
Security,Credit Card Security,Only last 4 digits stored in database
Security,Credit Card Security,Full card number masked in UI (**** **** **** XXXX)
Security,SQL Injection Prevention,Parameterized queries for all database operations
Security,XSS Prevention,Input sanitization and Angular's built-in XSS protection
Security,Data Validation,Comprehensive validation at multiple layers (frontend backend database)
Data Storage,Database,MySQL database with two tables
Data Storage,Database,users table: id (UUID) name email username password_hash created_at updated_at
Data Storage,Database,user_interests table: user_id (FK) mobile credit_card_last4 state city gender hobbies (JSON) tech_interests (JSON) address dob
Data Storage,Database,Foreign key relationship with ON DELETE CASCADE
Data Storage,Database,JSON data type for array fields (hobbies tech_interests)
Data Storage,Database,UUID primary keys for globally unique identifiers
Data Storage,Database,Timestamps (created_at updated_at) for audit trail
Data Operations,CRUD Operations,Create Read Update Delete operations for users
Data Operations,Bulk Operations,Bulk INSERT for multiple new users (single query)
Data Operations,Bulk Operations,Bulk UPDATE for multiple existing users (CASE WHEN queries)
Data Operations,Bulk Operations,Transaction support for atomicity
Data Operations,Data Normalization,Credit card normalization (extract last 4 digits)
Data Operations,Data Normalization,Email normalization (lowercase trim)
Data Operations,Data Normalization,Date normalization (YYYY-MM-DD format)
Data Operations,Data Normalization,Array normalization (comma-separated to JSON array)
Data Operations,Data Transformation,JSON parsing for hobbies and tech_interests
Data Operations,Data Transformation,Date formatting for display (Dec 31 2025)
Data Operations,Data Transformation,Credit card masking for display
Frontend Framework,Angular,Angular framework with TypeScript
Frontend Framework,Angular,Component-based architecture
Frontend Framework,Angular,Reactive Forms for form handling
Frontend Framework,Angular,HTTP Client for API calls
Frontend Framework,Angular,RxJS Observables for async operations
Frontend Framework,Angular,Router for navigation
Frontend Framework,Angular,Lifecycle hooks (ngOnInit ngOnChanges)
Frontend Framework,Angular,ViewChild for table reference
Frontend Framework,Angular,Input/Output decorators for component communication
Backend Framework,Node.js,Node.js runtime environment
Backend Framework,Express.js,Express.js web framework
Backend Framework,Express.js,RESTful API design
Backend Framework,Express.js,Middleware (CORS express.json multer)
Backend Framework,Express.js,Route-based architecture
Backend Framework,Express.js,Controller pattern for business logic
Database,MySQL,MySQL relational database
Database,MySQL,Connection pooling for performance
Database,MySQL,Transaction support
Database,MySQL,Foreign key constraints
Database,MySQL,JSON data type support
Libraries,PrimeNG,UI component library
Libraries,PrimeFlex,CSS utility library
Libraries,excel4node,Server-side Excel generation
Libraries,xlsx,Excel file parsing
Libraries,multer,File upload handling
Libraries,bcryptjs,Password hashing
Libraries,uuid,UUID generation
Libraries,dotenv,Environment variable management

